http://www.durangobill.com/Trees.html:
Number of       Number of
Vertices    Non-rooted trees
----------------------------
   1                       1
   2                       1
   3                       1
   4                       2
   5                       3
   6                       6
   7                      11
   8                      23
   9                      47
  10                     106
  11                     235
  12                     551
  13                   1,301
  14                   3,159
  15                   7,741
  16                  19,320
  17                  48,629
  18                 123,867
  19                 317,955
  20                 823,065
  21               2,144,505
  22               5,623,756
  23              14,828,074
  24              39,299,897
  25             104,636,890
  26             279,793,450
  27             751,065,460
  28           2,023,443,032
  29           5,469,566,585
  30          14,830,871,802
  31          40,330,829,030
  32         109,972,410,221
  33         300,628,862,480
  34         823,779,631,721
  35       2,262,366,343,746
  36       6,226,306,037,178
  37      17,169,677,490,714
  38      47,436,313,524,262
  39     131,290,543,779,126
  40     363,990,257,783,342
